footnote_id,program,calendar_year,program_type,footnote_number,text
ENSC_2024_2025_MAJOR_FOOTNOTE_011,ENSC,2024-2025,Major,11,"‘Tools’ Elective: One of ATSC_V 303, CHEM_V 311 (requires CHEM_V 211), CONS_V 340, EOSC_V 211, FRST_V 443, GEOS_V (or GEOB_V) 270, 309, 370, 373, or ISCI_V 422. Must be completed before fourth year."
ENSC_2024_2025_MAJOR_FOOTNOTE_012,ENSC,2024-2025,Major,12,"Of the 15 Area of Concentration credits, at least 12 credits must be at the 3xx level or higher, including at least 6 credits at the 4xx level."
ENSC_2024_2025_HONOURS_FOOTNOTE_001,ENSC,2024-2025,Honours,1,Students without one of Biology 11 or Biology 12 must take BIOL_V 111 before attempting BIOL_V 121 or BIOL_V 180.
ENSC_2024_2025_HONOURS_FOOTNOTE_002,ENSC,2024-2025,Honours,2,"Students who do not have B.C. High School Chemistry 12 (or its equivalent) must write the UBC Chemistry Basic Skills Test and may be required to take CHEM_V 100. CHEM_V 110 and 115 may substitute for CHEM_V 111, CHEM_V 120 and 115 may substitute for CHEM_V 121, CHEM_V 130 and 135 may substitute for CHEM_V 123."
ENSC_2024_2025_HONOURS_FOOTNOTE_003,ENSC,2024-2025,Honours,3,"For a full list of acceptable courses, see Communication Requirement ."
ENSC_2024_2025_HONOURS_FOOTNOTE_004,ENSC,2024-2025,Honours,4,MATH_V 110 may substitute for any of the specified differential calculus courses listed by decreasing the electives by 3 credits. Choosing a 4-credit MATH_V course lowers the electives by 1 credit. All of the differential calculus courses are suitable prerequisites for later MATH_V courses. They differ in the expected student background and the types of examples used in the problems.
ENSC_2024_2025_HONOURS_FOOTNOTE_005,ENSC,2024-2025,Honours,5,"Chosen from 100-level PHYS_V courses, excluding PHYS_V 100 and PHYS_V 170. Students without Physics 12 must replace 3 credits of electives with PHYS_V 100 before taking any other 100-level PHYS_V course. Students may defer taking any other 100-level PHYS_V course to second year."
ENSC_2024_2025_HONOURS_FOOTNOTE_006,ENSC,2024-2025,Honours,6,Elective credits together with required courses must fulfill the Faculty of Science’s: a) Foundational Requirement ; b) Laboratory Science Requirement ; c) Science Breadth Requirement ; d) Science and Arts Requirements ; e) Upper-level Requirement ; f) General Degree Requirements .
ENSC_2024_2025_HONOURS_FOOTNOTE_007,ENSC,2024-2025,Honours,7,"Students interested in elective options in environmental, social and economic aspects of sustainability see: www.sustain.ubc.ca/courses-degrees/courses"
ENSC_2024_2025_HONOURS_FOOTNOTE_008,ENSC,2024-2025,Honours,8,Students who select 7 credits of second-year CHEM_V will need to lower the total number of electives accordingly.
ENSC_2024_2025_HONOURS_FOOTNOTE_009,ENSC,2024-2025,Honours,9,Students should consider which second year quantitative course will best fit their needs: MATH_V 200 and/or 221 are recommended for students interested in fluid dynamics and machine learning; STAT_V 201 is recommended for students interested in data science; STAT_V 200 or BIOL_V 300 are recommended for students interested in field ecology.
ENSC_2024_2025_HONOURS_FOOTNOTE_010,ENSC,2024-2025,Honours,10,"Students interested in the Ecology and Conservation Area of Concentration should consider one of BIOL_V 204, 205, 209 or 210 in second year."
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,"'Tools’ Electives: Two of ATSC_V 303, CHEM_V 311 (requires CHEM_V 211), CONS_V 340, EOSC_V 211, FRST_V 443, GEOS_V (or GEOB_V) 270, 309, 370, 373 or ISCI_V 422. Consult credit exclusion list before choosing 'Tools' electives. Must be completed before fourth year."
ENSC_2024_2025_HONOURS_FOOTNOTE_012,ENSC,2024-2025,Honours,12,"Of the 18 Area of Concentration credits, at least 15 credits must be at the 3xx level or higher, including at least 9 credits at the 4xx level."
